opp_id,segment,lead_source,owner,amount,created_date,close_date,cycle_days,furthest_stage,furthest_stage_idx,outcome,loss_reason
OPP-00090,SMB,Partner,Rep B,4282.53,2026-03-19,2026-04-11,23.0,Negotiation,3,Won,
OPP-00091,SMB,Inbound,Rep G,500.0,2025-11-17,2025-12-05,18.0,Negotiation,3,Lost,Price
OPP-00092,Enterprise,Outbound,Rep A,85421.86,2026-02-19,2026-05-31,101.0,Negotiation,3,Lost,Price
OPP-00093,SMB,Event,Rep E,3017.17,2026-06-09,2026-06-28,19.0,Qualification,1,Lost,Price
OPP-00094,Mid-Market,Inbound,Rep E,20738.85,2025-10-06,2025-10-24,18.0,Negotiation,3,Won,
OPP-00095,Enterprise,Inbound,Rep E,47070.54,2026-02-13,2026-05-29,105.0,Negotiation,3,Lost,No Decision
OPP-00096,SMB,Outbound,Rep E,2696.88,2026-03-01,2026-03-14,13.0,Negotiation,3,Won,
OPP-00097,Enterprise,Inbound,Rep B,94562.14,2025-11-13,2026-01-12,60.0,Negotiation,3,Lost,Competitor
OPP-00098,SMB,Partner,Rep F,3043.66,2026-02-26,2026-03-16,18.0,Negotiation,3,Lost,Competitor
OPP-00099,SMB,Event,Rep F,1658.48,2025-11-29,2025-12-14,15.0,Negotiation,3,Won,
OPP-00100,Enterprise,Inbound,Rep G,146379.19,2025-12-24,2026-03-26,92.0,Proposal,2,Lost,No Budget
OPP-00101,Mid-Market,Event,Rep E,24360.21,2026-01-11,,,Qualification,1,Open,
OPP-00102,SMB,Outbound,Rep A,3999.86,2025-10-30,2025-11-09,10.0,Qualification,1,Lost,Price
OPP-00103,SMB,Outbound,Rep C,2122.69,2025-10-14,2025-10-31,17.0,Proposal,2,Lost,Competitor
OPP-00104,SMB,Inbound,Rep B,2844.87,2026-06-17,2026-07-04,17.0,Negotiation,3,Lost,Price
OPP-00105,SMB,Inbound,Rep C,2352.99,2026-06-13,2026-06-16,3.0,Negotiation,3,Won,
OPP-00106,SMB,Inbound,Rep D,4574.01,2026-05-04,2026-05-16,12.0,Negotiation,3,Won,
OPP-00107,SMB,Partner,Rep B,2778.84,2026-06-16,,,Prospecting,0,Open,
OPP-00108,SMB,Inbound,Rep H,1385.63,2026-01-30,2026-02-10,11.0,Negotiation,3,Won,
OPP-00109,Mid-Market,Event,Rep E,11259.57,2025-12-02,2026-01-23,52.0,Negotiation,3,Won,
OPP-00110,Enterprise,Event,Rep G,64999.28,2026-01-14,2026-04-14,90.0,Proposal,2,Lost,Price
OPP-00111,SMB,Event,Rep A,5471.09,2026-03-08,2026-03-28,20.0,Negotiation,3,Won,
OPP-00112,SMB,Inbound,Rep D,3317.41,2026-03-20,2026-04-14,25.0,Negotiation,3,Won,
OPP-00113,Mid-Market,Inbound,Rep G,20680.2,2026-02-19,2026-02-22,3.0,Qualification,1,Lost,Price
OPP-00114,SMB,Partner,Rep H,6364.38,2026-05-17,2026-06-03,17.0,Proposal,2,Lost,No Budget
OPP-00115,SMB,Event,Rep C,1886.71,2025-11-06,2025-12-01,25.0,Qualification,1,Lost,No Decision
OPP-00116,SMB,Partner,Rep C,4657.02,2026-03-24,2026-04-07,14.0,Qualification,1,Lost,Price
OPP-00117,Mid-Market,Partner,Rep E,8170.12,2026-04-10,2026-05-29,49.0,Proposal,2,Lost,Competitor
OPP-00118,Enterprise,Inbound,Rep A,131018.28,2026-01-29,2026-04-30,91.0,Negotiation,3,Lost,No Budget
OPP-00119,Mid-Market,Inbound,Rep F,22437.37,2025-10-24,2025-12-08,45.0,Proposal,2,Lost,Price
OPP-00120,SMB,Inbound,Rep D,2248.88,2025-12-14,2025-12-18,4.0,Negotiation,3,Won,
OPP-00121,SMB,Inbound,Rep C,3509.81,2025-11-27,2025-12-17,20.0,Negotiation,3,Lost,No Budget
OPP-00122,SMB,Outbound,Rep C,4568.3,2026-01-20,2026-02-16,27.0,Negotiation,3,Won,
OPP-00123,SMB,Event,Rep H,2163.34,2026-05-28,2026-06-21,24.0,Proposal,2,Lost,No Budget
OPP-00124,SMB,Inbound,Rep E,2193.51,2026-05-27,2026-06-18,22.0,Negotiation,3,Lost,Timing
OPP-00125,SMB,Outbound,Rep F,3224.76,2025-12-13,2026-01-03,21.0,Qualification,1,Lost,Timing
OPP-00126,Enterprise,Inbound,Rep B,82891.19,2026-04-12,2026-06-13,62.0,Negotiation,3,Won,
OPP-00127,Mid-Market,Inbound,Rep A,6850.44,2025-11-12,2025-12-13,31.0,Negotiation,3,Lost,No Decision
OPP-00128,SMB,Inbound,Rep D,3648.89,2026-06-11,2026-06-29,18.0,Negotiation,3,Won,
OPP-00129,Mid-Market,Inbound,Rep B,13827.38,2026-03-28,2026-05-12,45.0,Negotiation,3,Lost,Competitor
OPP-00130,SMB,Partner,Rep D,4460.5,2026-02-06,2026-03-05,27.0,Negotiation,3,Won,
OPP-00131,Mid-Market,Inbound,Rep C,8509.3,2026-01-22,2026-02-24,33.0,Negotiation,3,Lost,Competitor
OPP-00132,Enterprise,Inbound,Rep G,87764.61,2025-10-28,2026-03-06,129.0,Negotiation,3,Won,
OPP-00133,SMB,Inbound,Rep A,2646.26,2026-04-07,2026-04-23,16.0,Negotiation,3,Won,
OPP-00134,SMB,Event,Rep D,1658.69,2026-05-26,,,Qualification,1,Open,
OPP-00135,Mid-Market,Inbound,Rep D,18260.59,2026-04-15,2026-05-28,43.0,Negotiation,3,Won,
OPP-00136,SMB,Inbound,Rep F,4035.16,2025-11-20,2025-12-11,21.0,Qualification,1,Lost,No Decision
OPP-00137,SMB,Outbound,Rep G,4046.73,2026-06-09,2026-06-27,18.0,Qualification,1,Lost,Price
OPP-00138,Mid-Market,Inbound,Rep C,11103.89,2026-05-15,2026-06-16,32.0,Negotiation,3,Won,
OPP-00139,SMB,Outbound,Rep F,500.0,2026-01-29,2026-02-15,17.0,Proposal,2,Lost,Price
OPP-00140,SMB,Outbound,Rep B,4282.03,2025-10-20,,,Qualification,1,Open,
OPP-00141,SMB,Event,Rep G,3919.45,2026-02-13,2026-03-01,16.0,Prospecting,0,Lost,Price
OPP-00142,Mid-Market,Inbound,Rep F,11514.27,2025-10-24,2025-12-30,67.0,Qualification,1,Lost,Price
OPP-00143,Enterprise,Inbound,Rep C,54217.16,2025-11-07,2026-04-19,163.0,Negotiation,3,Won,
OPP-00144,Enterprise,Event,Rep C,500.0,2025-10-30,2025-12-22,53.0,Negotiation,3,Won,
OPP-00145,Enterprise,Partner,Rep A,99384.39,2025-10-09,2026-02-04,118.0,Negotiation,3,Won,
OPP-00146,Enterprise,Outbound,Rep G,104816.57,2026-05-11,2026-07-28,78.0,Negotiation,3,Lost,No Budget
OPP-00147,SMB,Outbound,Rep D,3855.81,2025-10-30,2025-11-21,22.0,Qualification,1,Lost,Competitor
OPP-00148,SMB,Outbound,Rep B,2381.78,2026-01-27,2026-01-30,3.0,Proposal,2,Lost,Competitor
OPP-00149,Mid-Market,Outbound,Rep C,23421.46,2025-10-25,2025-12-08,44.0,Qualification,1,Lost,Price
OPP-00150,Mid-Market,Partner,Rep C,17191.51,2026-06-11,2026-07-13,32.0,Prospecting,0,Lost,No Decision
OPP-00151,SMB,Event,Rep H,3035.03,2026-04-17,2026-04-30,13.0,Negotiation,3,Won,
OPP-00152,Mid-Market,Event,Rep E,3901.28,2025-10-02,2025-11-27,56.0,Negotiation,3,Lost,Competitor
OPP-00153,Mid-Market,Inbound,Rep F,15237.99,2026-03-06,2026-03-19,13.0,Negotiation,3,Lost,Price
OPP-00154,Mid-Market,Event,Rep B,3409.18,2026-01-29,2026-03-24,54.0,Proposal,2,Lost,Competitor
OPP-00155,SMB,Outbound,Rep B,4206.86,2025-12-23,2026-01-04,12.0,Prospecting,0,Lost,Competitor
OPP-00156,SMB,Outbound,Rep A,1859.24,2026-01-19,2026-02-01,13.0,Negotiation,3,Won,
OPP-00157,SMB,Outbound,Rep H,2814.29,2026-01-06,,,Prospecting,0,Open,
OPP-00158,Enterprise,Outbound,Rep B,150082.32,2026-02-05,2026-05-25,109.0,Proposal,2,Lost,No Budget
OPP-00159,SMB,Outbound,Rep G,1451.4,2025-10-11,2025-11-16,36.0,Negotiation,3,Won,
OPP-00160,Enterprise,Inbound,Rep C,39784.12,2026-03-16,2026-06-29,105.0,Negotiation,3,Lost,No Budget
OPP-00161,SMB,Outbound,Rep H,4374.47,2026-01-02,2026-01-06,4.0,Negotiation,3,Won,
OPP-00162,Enterprise,Inbound,Rep F,118585.67,2026-06-07,2026-07-26,49.0,Prospecting,0,Lost,Timing
OPP-00163,Mid-Market,Outbound,Rep G,20038.62,2026-03-17,2026-05-23,67.0,Qualification,1,Lost,Competitor
OPP-00164,SMB,Inbound,Rep F,3504.6,2026-07-02,2026-07-12,10.0,Negotiation,3,Won,
OPP-00165,SMB,Inbound,Rep A,5793.48,2026-02-23,2026-03-17,22.0,Qualification,1,Lost,Price
OPP-00166,SMB,Inbound,Rep B,4042.01,2026-03-03,2026-03-23,20.0,Negotiation,3,Won,
OPP-00167,Mid-Market,Outbound,Rep B,7024.49,2025-12-24,,,Qualification,1,Open,
OPP-00168,SMB,Event,Rep B,3042.03,2026-03-06,2026-03-22,16.0,Negotiation,3,Won,
OPP-00169,Mid-Market,Outbound,Rep B,24448.06,2025-11-12,2026-01-05,54.0,Negotiation,3,Won,
OPP-00170,SMB,Outbound,Rep D,3355.42,2026-02-03,2026-02-20,17.0,Proposal,2,Lost,Competitor
OPP-00171,SMB,Outbound,Rep B,2783.96,2026-07-07,2026-07-27,20.0,Proposal,2,Lost,Price
OPP-00172,Mid-Market,Outbound,Rep B,15233.29,2026-03-01,2026-05-07,67.0,Qualification,1,Lost,No Budget
OPP-00173,Mid-Market,Event,Rep F,21217.94,2026-02-02,2026-04-02,59.0,Qualification,1,Lost,No Budget
OPP-00174,SMB,Inbound,Rep C,2979.88,2026-06-28,2026-07-01,3.0,Negotiation,3,Won,
OPP-00175,Enterprise,Inbound,Rep C,100749.24,2026-03-21,2026-07-10,111.0,Qualification,1,Lost,No Budget
OPP-00176,SMB,Inbound,Rep B,3268.11,2025-11-07,2025-11-20,13.0,Prospecting,0,Lost,Competitor
OPP-00177,Mid-Market,Partner,Rep A,9729.65,2025-12-04,2026-01-09,36.0,Negotiation,3,Won,
OPP-00178,SMB,Inbound,Rep G,500.0,2025-12-30,2026-01-16,17.0,Negotiation,3,Won,
OPP-00179,SMB,Inbound,Rep G,500.0,2026-06-23,2026-07-12,19.0,Negotiation,3,Lost,No Decision
OPP-00180,Mid-Market,Event,Rep C,16681.31,2026-02-01,,,Proposal,2,Open,
OPP-00181,SMB,Outbound,Rep A,3833.04,2026-03-07,2026-03-27,20.0,Negotiation,3,Won,
OPP-00182,SMB,Partner,Rep A,1604.6,2026-06-02,2026-07-02,30.0,Negotiation,3,Won,
OPP-00183,SMB,Outbound,Rep G,2645.01,2026-03-18,2026-03-21,3.0,Negotiation,3,Won,
OPP-00184,SMB,Inbound,Rep F,2451.8,2026-04-22,2026-04-28,6.0,Negotiation,3,Won,
OPP-00185,Mid-Market,Inbound,Rep H,15255.72,2026-03-24,2026-05-10,47.0,Negotiation,3,Won,
OPP-00186,SMB,Event,Rep E,4094.57,2025-12-15,2025-12-20,5.0,Qualification,1,Lost,Timing
OPP-00187,SMB,Inbound,Rep C,4543.17,2025-10-12,2025-10-15,3.0,Negotiation,3,Won,
OPP-00188,Mid-Market,Inbound,Rep B,6653.61,2025-11-25,2025-12-04,9.0,Proposal,2,Lost,Timing
OPP-00189,Mid-Market,Outbound,Rep D,20645.8,2026-01-11,2026-03-03,51.0,Negotiation,3,Won,
OPP-00190,Mid-Market,Partner,Rep H,26851.78,2025-11-22,2025-12-15,23.0,Negotiation,3,Won,
OPP-00191,Mid-Market,Event,Rep A,15313.39,2025-12-10,2026-01-28,49.0,Negotiation,3,Won,
OPP-00192,Enterprise,Outbound,Rep H,22805.47,2025-10-08,2026-01-20,104.0,Negotiation,3,Lost,Competitor
OPP-00193,Enterprise,Event,Rep B,2949.57,2025-10-09,2026-02-28,142.0,Proposal,2,Lost,Timing
OPP-00194,SMB,Partner,Rep B,500.0,2026-06-03,2026-06-28,25.0,Negotiation,3,Lost,No Budget
OPP-00195,SMB,Inbound,Rep H,761.84,2026-02-23,2026-03-13,18.0,Negotiation,3,Won,
OPP-00196,Mid-Market,Event,Rep G,21754.08,2026-02-17,2026-03-28,39.0,Negotiation,3,Lost,No Budget
OPP-00197,Enterprise,Event,Rep B,46495.26,2026-01-10,2026-04-11,91.0,Negotiation,3,Won,
OPP-00198,SMB,Event,Rep A,1951.98,2026-07-10,2026-07-27,17.0,Negotiation,3,Won,
OPP-00199,Mid-Market,Inbound,Rep C,24919.72,2026-04-30,,,Qualification,1,Open,
OPP-00200,Mid-Market,Outbound,Rep B,26598.95,2026-01-03,2026-02-07,35.0,Negotiation,3,Won,
OPP-00201,SMB,Event,Rep G,641.21,2026-05-12,2026-05-18,6.0,Negotiation,3,Won,
OPP-00202,Mid-Market,Partner,Rep A,34622.25,2025-10-08,2025-10-26,18.0,Proposal,2,Lost,No Budget
OPP-00203,Mid-Market,Outbound,Rep A,19818.65,2026-05-06,2026-07-05,60.0,Proposal,2,Lost,Price
OPP-00204,Enterprise,Event,Rep D,64571.19,2025-11-08,2026-01-26,79.0,Negotiation,3,Won,
OPP-00205,SMB,Inbound,Rep A,4691.03,2026-05-26,2026-06-13,18.0,Proposal,2,Lost,Timing
OPP-00206,Mid-Market,Outbound,Rep H,7906.15,2026-01-01,2026-02-07,37.0,Negotiation,3,Won,
OPP-00207,Mid-Market,Inbound,Rep D,28341.76,2025-12-23,2026-02-13,52.0,Prospecting,0,Lost,Timing
OPP-00208,SMB,Inbound,Rep B,1838.23,2025-12-26,2026-01-08,13.0,Negotiation,3,Won,
OPP-00209,Mid-Market,Outbound,Rep D,10784.98,2026-03-29,2026-05-14,46.0,Prospecting,0,Lost,Competitor
OPP-00210,SMB,Inbound,Rep E,4263.19,2026-05-08,2026-05-18,10.0,Proposal,2,Lost,Timing
OPP-00211,SMB,Outbound,Rep A,3445.37,2026-03-07,2026-03-14,7.0,Prospecting,0,Lost,Competitor
OPP-00212,SMB,Event,Rep E,4031.64,2026-06-25,2026-07-22,27.0,Negotiation,3,Won,
OPP-00213,SMB,Inbound,Rep E,3410.76,2026-05-01,,,Prospecting,0,Open,
OPP-00214,Mid-Market,Inbound,Rep A,14898.91,2025-12-25,2026-02-07,44.0,Negotiation,3,Lost,Price
OPP-00215,Enterprise,Outbound,Rep H,86389.27,2026-03-31,2026-08-01,123.0,Qualification,1,Lost,Competitor
OPP-00216,Mid-Market,Event,Rep A,21387.88,2026-05-16,2026-06-26,41.0,Negotiation,3,Won,
OPP-00217,Mid-Market,Partner,Rep H,22716.56,2026-06-02,2026-07-29,57.0,Negotiation,3,Lost,Price
OPP-00218,SMB,Outbound,Rep A,3131.94,2026-01-25,2026-02-13,19.0,Qualification,1,Lost,Price
OPP-00219,SMB,Event,Rep E,1034.55,2026-05-18,2026-05-21,3.0,Negotiation,3,Won,
OPP-00220,SMB,Inbound,Rep C,2550.99,2025-10-16,2025-11-08,23.0,Negotiation,3,Won,
OPP-00221,Mid-Market,Inbound,Rep F,8221.27,2026-01-20,,,Qualification,1,Open,
OPP-00222,Enterprise,Inbound,Rep G,77683.87,2026-01-13,2026-05-08,115.0,Negotiation,3,Won,
OPP-00223,Mid-Market,Partner,Rep B,10548.69,2025-12-26,2026-01-12,17.0,Negotiation,3,Won,
OPP-00224,SMB,Inbound,Rep E,5133.16,2025-10-06,2025-10-20,14.0,Proposal,2,Lost,Timing
OPP-00225,Mid-Market,Partner,Rep A,12517.74,2025-12-08,,,Prospecting,0,Open,
OPP-00226,SMB,Outbound,Rep B,2325.04,2026-07-02,2026-07-11,9.0,Prospecting,0,Lost,No Decision
OPP-00227,Enterprise,Inbound,Rep D,90156.28,2026-04-22,2026-07-11,80.0,Prospecting,0,Lost,Timing
OPP-00228,Mid-Market,Outbound,Rep D,25177.44,2026-04-15,,,Qualification,1,Open,
OPP-00229,Mid-Market,Partner,Rep E,17614.29,2026-06-27,2026-07-24,27.0,Qualification,1,Lost,Price
OPP-00230,SMB,Event,Rep D,4940.26,2026-06-14,2026-06-21,7.0,Qualification,1,Lost,No Budget
OPP-00231,Enterprise,Inbound,Rep A,8687.18,2025-10-20,2026-01-11,83.0,Prospecting,0,Lost,No Budget
OPP-00232,Mid-Market,Inbound,Rep F,5565.21,2026-02-18,2026-03-25,35.0,Negotiation,3,Lost,No Budget
OPP-00233,SMB,Event,Rep F,2593.66,2026-04-17,,,Qualification,1,Open,
OPP-00234,SMB,Inbound,Rep B,4194.82,2025-12-20,,,Qualification,1,Open,
OPP-00235,Mid-Market,Inbound,Rep C,4747.8,2025-12-03,2026-01-20,48.0,Negotiation,3,Won,
OPP-00236,Mid-Market,Inbound,Rep F,16235.56,2025-10-06,2025-11-08,33.0,Proposal,2,Lost,Price
OPP-00237,Mid-Market,Event,Rep C,24756.19,2025-12-13,2026-01-28,46.0,Negotiation,3,Lost,No Decision
OPP-00238,SMB,Outbound,Rep A,3651.01,2026-01-04,2026-01-24,20.0,Negotiation,3,Won,
OPP-00239,SMB,Partner,Rep E,1103.19,2026-02-07,,,Qualification,1,Open,
OPP-00240,SMB,Event,Rep H,2957.88,2026-02-02,2026-02-14,12.0,Negotiation,3,Lost,Price
